Date,Industrial Production (Index) (% MoM),Nonfarm Payrolls (thousands) (% MoM),Real Disp. Personal Income (B$) (% MoM),Real Mfg & Trade Sales (M$) (% MoM)
31-May-2004,0.7198,0.2166,0.6138,0.2781
30-Jun-2004,-0.7833,0.0736,0.1286,-0.0930
31-Jul-2004,0.7444,0.0455,0.5036,0.1476
31-Aug-2004,0.0671,0.0644,0.2592,0.8646
30-Sep-2004,0.1270,0.1136,0.1626,0.4092
31-Oct-2004,0.8495,0.2571,0.0747,0.2114
30-Nov-2004,0.2480,0.0559,-0.3094,0.1828
31-Dec-2004,0.7936,0.0958,3.7025,1.5468
31-Jan-2005,0.3590,0.1138,-3.3976,0.3610
28-Feb-2005,0.7233,0.1904,-0.0489,0.0320
31-Mar-2005,-0.1352,0.0902,0.3785,-0.6844
30-Apr-2005,0.2150,0.2745,0.2919,1.4994
31-May-2005,0.0900,0.1265,0.4965,-0.1913
30-Jun-2005,0.4488,0.1935,0.2969,0.9426
31-Jul-2005,-0.3171,0.2624,0.2996,-0.0658
31-Aug-2005,0.3254,0.1503,-0.0063,0.2458
30-Sep-2005,-1.9564,0.0372,-0.2751,-0.4836
31-Oct-2005,1.2064,0.0661,0.7509,-0.0118
30-Nov-2005,1.1178,0.2641,0.6934,1.3643
31-Dec-2005,0.5152,0.1199,0.4310,0.5737
31-Jan-2006,0.1577,0.1981,0.9167,0.5241
28-Feb-2006,0.0422,0.2257,0.7031,0.2367
31-Mar-2006,0.2252,0.2245,0.4546,0.1685
30-Apr-2006,0.3032,0.1264,0.1074,-0.9494
31-May-2006,0.0254,0.0286,-0.1468,0.8185
30-Jun-2006,0.3161,0.0646,0.0891,-0.2756
31-Jul-2006,-0.0513,0.1407,-0.1460,-0.4350
31-Aug-2006,0.4379,0.1193,-0.1409,0.5592
30-Sep-2006,-0.1663,0.0980,0.6297,-0.0181
31-Oct-2006,-0.1147,0.0124,0.6595,0.0725
30-Nov-2006,-0.0420,0.1585,0.5374,0.0580
31-Dec-2006,1.0142,0.1378,0.5028,1.5869
31-Jan-2007,-0.3389,0.1623,-0.1439,-0.6118
28-Feb-2007,0.9378,0.0640,0.4020,0.5982
31-Mar-2007,0.1779,0.1627,0.4412,0.1253
30-Apr-2007,0.6700,0.0457,0.3055,-0.1726
31-May-2007,0.0956,0.1051,0.0847,0.6670
30-Jun-2007,0.0577,0.0565,-0.0313,-0.1138
31-Jul-2007,-0.1200,-0.0188,0.0356,-0.5976
31-Aug-2007,0.1924,-0.0225,-0.1135,1.2474
30-Sep-2007,0.2220,0.0623,0.0822,0.0484
31-Oct-2007,-0.2824,0.0550,-0.1415,0.5299
30-Nov-2007,0.5321,0.0832,-0.0568,-0.2431
31-Dec-2007,0.0349,0.0759,0.3422,-0.8179
31-Jan-2008,-0.1324,-0.0029,0.0414,0.5015
29-Feb-2008,-0.3930,-0.0448,0.0929,-0.9603
31-Mar-2008,-0.3050,-0.0506,0.0296,-1.3342
30-Apr-2008,-0.6473,-0.1585,-0.5902,1.0139
31-May-2008,-0.6076,-0.1370,-0.3948,-0.6937
30-Jun-2008,-0.2335,-0.1096,-0.5086,-0.1338
31-Jul-2008,-0.3580,-0.1475,-0.3881,-1.7395
31-Aug-2008,-1.5824,-0.2082,0.4823,-0.7371
30-Sep-2008,-4.5048,-0.3292,-0.0154,-2.4904
31-Oct-2008,0.9892,-0.3435,0.6104,-0.9362
30-Nov-2008,-1.3289,-0.5518,0.5314,-2.7664
31-Dec-2008,-2.8604,-0.5133,-1.1229,-0.5447
31-Jan-2009,-2.5259,-0.5712,-1.7680,-2.1429
28-Feb-2009,-0.6104,-0.5692,-1.5756,0.6187
31-Mar-2009,-1.5780,-0.6200,-0.6314,-2.0850
30-Apr-2009,-0.8325,-0.5085,-0.0856,-0.7818
31-May-2009,-1.0151,-0.2704,-0.0758,0.0431
30-Jun-2009,-0.3776,-0.3490,-0.7748,-0.1582
31-Jul-2009,1.1227,-0.2645,-0.4813,1.4663
31-Aug-2009,1.0907,-0.1455,-0.2434,0.0573
30-Sep-2009,0.8776,-0.1734,-0.0680,0.1183
31-Oct-2009,0.2692,-0.1421,-0.0127,0.4911
30-Nov-2009,0.4329,-0.0031,0.2915,0.7479
31-Dec-2009,0.4050,-0.1916,0.2437,0.3356
31-Jan-2010,1.0841,-0.0046,-0.2302,-0.2864
28-Feb-2010,0.3746,-0.0740,-0.0841,0.6583
31-Mar-2010,0.6833,0.1233,0.3927,1.2600
30-Apr-2010,0.3387,0.1954,1.0709,0.8905
31-May-2010,1.3419,0.4004,0.9563,-0.3136
30-Jun-2010,0.1848,-0.1011,0.1121,0.9590
31-Jul-2010,0.3790,-0.0728,0.2528,0.8438
31-Aug-2010,0.3658,0.0000,0.1723,0.0508
30-Sep-2010,0.2943,-0.0568,0.1044,-0.0155
31-Oct-2010,-0.2838,0.2138,0.1692,0.5149
30-Nov-2010,0.0869,0.0987,0.1855,0.2850
31-Dec-2010,0.9738,0.0619,0.7298,0.1777
31-Jan-2011,-0.2108,0.0054,1.5883,1.2182
28-Feb-2011,-0.3979,0.1680,0.4550,-1.4426
31-Mar-2011,1.0349,0.1723,-0.2366,1.1390
30-Apr-2011,-0.3235,0.2389,-0.1245,-0.3655
31-May-2011,0.1205,0.0805,-0.0299,-0.7880
30-Jun-2011,0.3020,0.1730,0.5940,1.0054
31-Jul-2011,0.4915,0.0462,0.5972,0.4527
31-Aug-2011,0.6728,0.1007,-0.0135,0.7394
30-Sep-2011,-0.0827,0.1656,-0.1232,-0.6518
31-Oct-2011,0.6916,0.1578,0.0186,1.2545
30-Nov-2011,-0.0087,0.1033,-0.1048,-0.3625
31-Dec-2011,0.5292,0.1491,1.0084,0.8726
31-Jan-2012,0.5947,0.2690,0.6855,0.5896
29-Feb-2012,0.3211,0.1972,0.6338,0.3595
31-Mar-2012,-0.5191,0.1789,0.2820,-0.0926
30-Apr-2012,0.7168,0.0576,0.3986,0.3256
31-May-2012,0.2307,0.0799,-0.0673,0.3028
30-Jun-2012,0.0055,0.0605,-0.1191,-0.2791
31-Jul-2012,0.2097,0.1074,-0.7250,0.1901
31-Aug-2012,-0.4288,0.1356,-0.1557,-0.0891
30-Sep-2012,-0.0734,0.1324,0.8215,0.1505
31-Oct-2012,0.3468,0.1129,0.8784,-0.3872
30-Nov-2012,0.3661,0.1158,1.5296,1.8260
31-Dec-2012,0.2367,0.1845,2.8114,0.3697
31-Jan-2013,0.0245,0.1354,-6.1197,0.3099
28-Feb-2013,0.4666,0.2134,-0.2010,0.4084
31-Mar-2013,0.4020,0.1054,0.3129,-0.5398
30-Apr-2013,-0.0863,0.1355,0.5628,-0.1417
31-May-2013,0.0781,0.1640,0.4309,1.1252
30-Jun-2013,0.2073,0.1344,-0.0295,-0.3109
31-Jul-2013,-0.3107,0.0822,-0.2276,0.0183
31-Aug-2013,0.5765,0.1868,0.1792,0.4141
30-Sep-2013,0.5072,0.1280,0.4785,0.3469
31-Oct-2013,-0.0789,0.1607,-0.3783,0.5421
30-Nov-2013,0.2333,0.2012,0.3194,1.2086
31-Dec-2013,0.2009,0.0400,0.2320,-0.3810
31-Jan-2014,-0.3564,0.1375,0.5654,-1.0197
28-Feb-2014,0.7529,0.1097,0.5897,0.8443
31-Mar-2014,0.9639,0.1980,0.5165,0.8073
30-Apr-2014,0.0967,0.2266,0.2492,0.1123
31-May-2014,0.3824,0.1553,0.1863,0.2746
30-Jun-2014,0.3426,0.2423,0.3565,-0.0135
31-Jul-2014,0.2219,0.1605,0.2496,0.6108
31-Aug-2014,-0.1890,0.1416,0.5038,0.1892
30-Sep-2014,0.2869,0.2109,0.3486,-0.0211
31-Oct-2014,0.0119,0.1682,0.5386,0.1481
30-Nov-2014,0.6153,0.2079,0.6144,0.2469
31-Dec-2014,-0.0079,0.1961,0.6555,0.5713
31-Jan-2015,-0.7879,0.1452,0.8132,0.1978
28-Feb-2015,-0.6406,0.1841,0.3690,-0.4022
31-Mar-2015,-0.3352,0.0681,-0.3329,0.5536
30-Apr-2015,-0.5471,0.1935,0.2840,0.7755
31-May-2015,-0.4423,0.2419,0.2138,-1.0338
30-Jun-2015,-0.3150,0.1207,0.0587,0.1722
31-Jul-2015,0.6460,0.1988,0.1714,0.2743
31-Aug-2015,-0.1840,0.0943,0.2038,0.1249
30-Sep-2015,-0.2795,0.1055,0.2678,0.9743
31-Oct-2015,-0.4847,0.2134,0.2648,-0.2114
30-Nov-2015,-0.7385,0.1605,-0.0612,-0.1989
31-Dec-2015,-0.4916,0.1882,0.3810,-0.1441
31-Jan-2016,0.5227,0.0929,0.1257,0.0684
29-Feb-2016,-0.5198,0.1368,-0.0512,0.7966
31-Mar-2016,-0.7448,0.1784,-0.0128,0.0401
30-Apr-2016,0.3376,0.1336,-0.1763,-0.0920
31-May-2016,-0.2270,0.0320,-0.0747,-0.5629
30-Jun-2016,0.4713,0.1715,0.1485,0.5976
31-Jul-2016,0.1171,0.2584,0.4645,-0.0799
31-Aug-2016,-0.1508,0.0975,0.0772,0.7602
30-Sep-2016,-0.1056,0.2113,0.3023,0.1418
31-Oct-2016,0.0156,0.0676,0.1269,0.1230
30-Nov-2016,-0.4180,0.0813,0.3612,0.0387
31-Dec-2016,0.6813,0.1549,0.3599,1.2118
31-Jan-2017,-0.2632,0.1512,0.3106,0.2778
28-Feb-2017,-0.4023,0.1496,0.3531,-0.1596
31-Mar-2017,0.6577,0.0850,0.3937,-0.2098
30-Apr-2017,1.0136,0.1403,0.2913,-0.3526
31-May-2017,0.1183,0.1401,0.7144,0.4033
30-Jun-2017,0.2058,0.1386,0.0740,0.3310
31-Jul-2017,-0.2398,0.1289,0.3388,0.4020
31-Aug-2017,-0.4147,0.1001,0.1639,0.5557
30-Sep-2017,0.1032,0.0606,0.3134,0.4839
31-Oct-2017,1.2243,0.0959,0.4256,0.5664
30-Nov-2017,0.2390,0.1514,0.4644,0.7445
31-Dec-2017,0.1953,0.1024,0.2428,0.6585
31-Jan-2018,-0.0019,0.0928,-0.1388,-1.3224
28-Feb-2018,0.2422,0.2665,0.1836,0.4990
31-Mar-2018,0.4886,0.1525,0.2442,-0.2214
30-Apr-2018,1.0959,0.0944,0.1332,0.0107
31-May-2018,-0.9046,0.2167,0.2956,0.7413
30-Jun-2018,0.7739,0.1465,0.4396,-0.4682
31-Jul-2018,0.1613,0.0403,0.5083,0.2229
31-Aug-2018,0.6443,0.1723,0.4062,0.4863
30-Sep-2018,0.0651,0.0542,-0.0188,-0.0342
31-Oct-2018,-0.1103,0.1131,0.1128,-0.3218
30-Nov-2018,0.0793,0.0602,0.2842,0.3299
31-Dec-2018,0.0245,0.1282,1.2975,-0.2221
31-Jan-2019,-0.6665,0.1674,-0.0062,0.2092
28-Feb-2019,-0.5479,0.0047,0.2415,-0.1910
31-Mar-2019,0.0375,0.1518,0.1639,-0.2223
30-Apr-2019,-0.5866,0.1968,-0.0983,-0.7628
31-May-2019,0.1153,0.0179,-0.0096,0.6179
30-Jun-2019,0.0444,0.1460,0.1249,0.1186
31-Jul-2019,-0.4861,0.0656,-0.0573,0.0637
31-Aug-2019,0.6826,0.1536,0.5085,0.2621
30-Sep-2019,-0.3389,0.1296,0.1974,-0.3198
31-Oct-2019,-0.8478,0.0627,0.2092,-1.1296
30-Nov-2019,0.5007,0.1366,0.4642,0.5162
31-Dec-2019,-0.2327,0.0837,-0.3966,-0.4214
31-Jan-2020,-0.6575,0.1560,1.0040,-0.3080
29-Feb-2020,0.3357,0.1722,0.5259,0.3323
31-Mar-2020,-3.9905,-0.9222,-2.2570,-4.4465
30-Apr-2020,-14.1422,-14.5778,-6.3437,-12.2344
31-May-2020,1.6403,1.9844,2.3839,8.0422
30-Jun-2020,6.3472,3.4217,2.2827,7.3274
31-Jul-2020,3.6787,1.1440,0.8108,2.7744
31-Aug-2020,0.9732,1.1183,1.1307,0.1290
30-Sep-2020,0.0125,0.6716,1.1960,0.4520
31-Oct-2020,0.8017,0.4855,1.4811,0.8518
30-Nov-2020,0.3531,0.1914,-0.1283,-0.0172
31-Dec-2020,1.3113,-0.1297,-0.1225,0.7442
31-Jan-2021,0.5265,0.2207,-0.0199,2.0691
28-Feb-2021,-3.3601,0.3612,0.0795,-3.0657
31-Mar-2021,2.8566,0.5925,0.9367,3.7484
30-Apr-2021,0.1758,0.2458,0.8916,0.0628
31-May-2021,0.8835,0.3301,0.5150,-1.8953
30-Jun-2021,0.3668,0.5191,0.3333,0.3187
31-Jul-2021,0.4531,0.6439,0.3958,0.3168
31-Aug-2021,-0.2079,0.3754,-0.0019,-0.9060
30-Sep-2021,-1.1924,0.3097,0.2457,0.3657
31-Oct-2021,1.3346,0.5406,0.3562,0.5904
30-Nov-2021,0.6757,0.4419,-0.0415,0.3219
31-Dec-2021,-0.2907,0.3919,-0.2968,-0.1823
31-Jan-2022,-0.3855,0.1267,-0.7342,1.1664
28-Feb-2022,0.6177,0.5445,-0.0839,-0.8228
31-Mar-2022,0.5780,0.3244,-0.4077,-0.1653
30-Apr-2022,0.0486,0.2033,-0.0201,-0.0763
31-May-2022,-0.1050,0.1983,-0.1038,-1.3201
30-Jun-2022,-0.3118,0.2853,-0.3851,-0.2285
31-Jul-2022,0.2027,0.4675,1.1252,0.4000
31-Aug-2022,-0.1252,0.1893,0.4469,1.0666
30-Sep-2022,0.1932,0.1433,0.3369,-0.2095
31-Oct-2022,-0.0384,0.2322,-0.1517,0.1229
30-Nov-2022,-0.2944,0.1966,0.0269,-1.0371
31-Dec-2022,-1.1845,0.0648,0.2820,0.9354
31-Jan-2023,0.7376,0.2808,0.6326,1.2198
28-Feb-2023,0.1358,0.1872,0.2819,-0.7933
31-Mar-2023,0.3758,0.0438,0.4809,-0.8340
30-Apr-2023,0.2299,0.1552,0.2704,-0.1727
31-May-2023,-0.3209,0.1800,0.3122,1.0315
30-Jun-2023,-0.8048,0.1444,0.1945,0.0407
31-Jul-2023,0.7831,0.1045,0.4046,0.6553
31-Aug-2023,-0.0668,0.1396,0.2219,-0.0098
30-Sep-2023,0.1801,0.0998,0.1210,0.6257
31-Oct-2023,-0.5481,0.1016,0.3726,-0.0496
30-Nov-2023,0.3924,0.0811,0.5754,0.4723
31-Dec-2023,-0.2589,0.0982,0.2901,0.7147
31-Jan-2024,-1.3820,0.1115,-0.0098,-1.0439
29-Feb-2024,1.0653,0.1311,0.0557,0.1034
31-Mar-2024,0.1719,0.1449,0.0875,-0.2126
30-Apr-2024,-0.2134,0.0406,0.1033,-0.0552
31-May-2024,0.6162,0.0495,0.5040,0.8443
30-Jun-2024,0.0307,0.0552,0.0450,0.2344
31-Jul-2024,-0.9143,0.0336,0.1045,0.8231
31-Aug-2024,0.4543,0.0057,0.1268,-0.0472
30-Sep-2024,-0.6218,0.0982,0.0382,0.7918
31-Oct-2024,-0.3401,0.0209,0.1859,-0.2702
30-Nov-2024,-0.1781,0.0848,0.3538,0.5861
31-Dec-2024,1.0368,0.1498,0.0994,0.7907
31-Jan-2025,-0.2621,-0.0303,0.1733,-1.0187
28-Feb-2025,1.0286,0.0265,-0.2094,0.7080
31-Mar-2025,-0.0583,0.0423,0.5694,1.3488
30-Apr-2025,0.0866,0.0682,0.0275,-0.5110
31-May-2025,-0.1607,0.0082,-0.3834,-0.3310
30-Jun-2025,0.5068,-0.0126,-0.3167,0.4070
31-Jul-2025,0.4086,0.0404,0.5676,0.5833
31-Aug-2025,-0.2646,-0.0442,0.1306,-0.2092
30-Sep-2025,0.0426,0.0479,0.1257,-0.7098
31-Oct-2025,-0.4421,-0.0883,-0.0718,0.1885
30-Nov-2025,-0.1369,0.0259,0.1806,0.0025
31-Dec-2025,0.5233,-0.0107,-0.1363,0.9336
31-Jan-2026,-0.0156,0.1009,0.1351,0.3847
