Date,Industrial Production (Index) (% MoM),Nonfarm Payrolls (thousands) (% MoM),Real Disp. Personal Income (B$) (% MoM),Real Mfg & Trade Sales (M$) (% MoM)
30-Sep-1975,1.2827,0.0972,0.2850,0.2392
31-Oct-1975,0.4389,0.4032,0.4304,0.1220
30-Nov-1975,0.1343,0.1868,0.2189,-0.1467
31-Dec-1975,1.3562,0.4265,0.0420,1.0536
31-Jan-1976,1.3104,0.6210,0.5461,2.4457
29-Feb-1976,0.9759,0.3979,0.6545,0.4381
31-Mar-1976,0.2160,0.2939,0.4006,0.7531
30-Apr-1976,0.4949,0.3082,0.5375,0.4772
31-May-1976,0.4242,0.0252,0.3065,-0.1105
30-Jun-1976,0.1026,0.0807,0.0711,1.2216
31-Jul-1976,0.5679,0.2152,0.3418,0.0697
31-Aug-1976,0.6854,0.1972,0.3855,0.3449
30-Sep-1976,0.3451,0.2356,0.1623,0.2890
31-Oct-1976,-0.0304,0.0238,0.0832,-1.1869
30-Nov-1976,1.5127,0.4109,0.8219,1.6490
31-Dec-1976,1.0754,0.2589,0.3357,2.5576
31-Jan-1977,-0.7022,0.3004,-0.3801,-0.6543
28-Feb-1977,1.5676,0.3686,0.3612,1.3505
31-Mar-1977,1.2699,0.4964,0.4669,1.2025
30-Apr-1977,0.9564,0.4132,0.5003,-0.1211
31-May-1977,0.7854,0.4395,0.5227,0.0631
30-Jun-1977,0.7747,0.4861,0.3173,0.8981
31-Jul-1977,0.1278,0.4186,0.3803,0.2719
31-Aug-1977,0.0988,0.2905,0.2781,0.1651
30-Sep-1977,0.4115,0.5486,0.7990,0.3665
31-Oct-1977,0.1410,0.3203,1.1362,0.7462
30-Nov-1977,0.1838,0.4441,0.6235,0.4559
31-Dec-1977,0.1789,0.2812,0.5339,1.3165
31-Jan-1978,-1.4828,0.2177,-0.3816,-3.1094
28-Feb-1978,0.5342,0.4176,0.5251,2.2675
31-Mar-1978,1.8987,0.6009,0.6214,0.9991
30-Apr-1978,2.0074,0.8181,0.7964,2.9847
31-May-1978,0.4655,0.4019,0.0393,-0.0952
30-Jun-1978,0.6468,0.5085,0.5812,0.5528
31-Jul-1978,-0.0825,0.2917,0.2202,-0.8273
31-Aug-1978,0.4095,0.3194,0.4565,1.2957
30-Sep-1978,0.2531,0.1576,0.2632,-0.2286
31-Oct-1978,0.7471,0.3816,0.4359,0.8883
30-Nov-1978,0.7687,0.4933,0.1289,0.4324
31-Dec-1978,0.4975,0.3163,0.6418,0.5339
31-Jan-1979,-0.5432,0.1544,0.2403,-1.0999
28-Feb-1979,0.4781,0.2777,0.5662,-0.4737
31-Mar-1979,0.3260,0.4750,0.2989,2.8528
30-Apr-1979,-1.2087,-0.0693,-0.9794,-2.7350
31-May-1979,0.9028,0.4152,-0.2903,2.1897
30-Jun-1979,0.0210,0.3546,0.1586,-1.0262
31-Jul-1979,-0.1674,0.1209,0.1145,-0.1266
31-Aug-1979,-0.6609,0.0920,0.1735,0.1735
30-Sep-1979,-0.0169,0.0299,0.0742,-0.5661
31-Oct-1979,0.7236,0.1703,-0.0228,-0.2992
30-Nov-1979,-0.1550,0.1016,0.3155,0.0379
31-Dec-1979,0.0670,0.1092,0.2445,-0.2925
31-Jan-1980,0.5394,0.1411,-0.1155,0.8431
29-Feb-1980,0.0271,0.0914,-0.3892,-0.9451
31-Mar-1980,-0.4079,0.1221,-0.3430,-2.3033
30-Apr-1980,-2.0063,-0.1595,-0.2006,-2.1640
31-May-1980,-2.4909,-0.4733,-0.4217,-1.2885
30-Jun-1980,-1.3006,-0.3534,0.1612,-0.2883
31-Jul-1980,-0.7059,-0.2901,-0.3400,1.2539
31-Aug-1980,0.3131,0.2879,0.3515,0.7182
30-Sep-1980,1.6366,0.1264,0.3331,2.0844
31-Oct-1980,1.2632,0.3066,1.1496,2.0670
30-Nov-1980,1.6604,0.2836,0.4693,0.0665
31-Dec-1980,0.6635,0.2158,0.4072,0.2466
31-Jan-1981,-0.6431,0.0989,-0.2738,0.6070
28-Feb-1981,-0.4270,0.0791,-0.2934,-0.4131
31-Mar-1981,0.5075,0.1152,0.2878,-1.0384
30-Apr-1981,-0.4406,0.0800,-0.0827,0.0559
31-May-1981,0.5715,0.0142,0.3190,-0.7097
30-Jun-1981,0.5082,0.2123,0.6294,-0.2643
31-Jul-1981,0.6534,0.1213,1.0538,0.2297
31-Aug-1981,-0.1247,-0.0393,0.4962,-0.4013
30-Sep-1981,-0.4828,-0.0962,-0.0972,-0.6903
31-Oct-1981,-0.7917,-0.1061,-0.3511,-1.3683
30-Nov-1981,-1.1691,-0.2290,0.0571,-0.7760
31-Dec-1981,-1.0690,-0.3032,-0.0589,-1.3030
31-Jan-1982,-2.0862,-0.3637,-0.2009,-0.5276
28-Feb-1982,2.0158,-0.0022,0.3684,1.5836
31-Mar-1982,-0.6666,-0.1425,-0.0809,0.0798
30-Apr-1982,-0.9275,-0.3145,0.5761,0.1128
31-May-1982,-0.6679,-0.0477,0.0311,0.5134
30-Jun-1982,-0.2607,-0.2689,-0.4197,-1.4279
31-Jul-1982,-0.3292,-0.3835,-0.3680,-0.3862
31-Aug-1982,-0.9171,-0.1767,0.2117,-0.9211
30-Sep-1982,-0.2469,-0.2016,-0.2007,0.1929
31-Oct-1982,-0.9728,-0.3100,-0.1919,-1.0345
30-Nov-1982,-0.3254,-0.1362,0.0831,0.2719
31-Dec-1982,-0.7100,-0.0169,0.5887,-0.2752
31-Jan-1983,1.8464,0.2464,0.1155,1.8903
28-Feb-1983,-0.6295,-0.0821,0.0055,-0.4222
31-Mar-1983,0.8405,0.1944,0.3968,1.6632
30-Apr-1983,1.2580,0.3071,0.1641,-0.0092
31-May-1983,0.6015,0.3128,0.4598,1.5421
30-Jun-1983,0.6107,0.4197,0.2789,2.5368
31-Jul-1983,1.4783,0.4610,0.5860,-0.0532
31-Aug-1983,1.1759,-0.3411,-0.1169,-0.1635
30-Sep-1983,1.4440,1.2328,0.8638,1.5188
31-Oct-1983,0.7617,0.2987,1.1426,1.0898
30-Nov-1983,0.4450,0.3871,0.6226,1.0210
31-Dec-1983,0.5009,0.3856,0.9041,1.8352
31-Jan-1984,1.9763,0.4792,0.3850,0.6442
29-Feb-1984,0.4384,0.5209,0.7140,-0.0538
31-Mar-1984,0.4884,0.2916,0.6321,0.0855
30-Apr-1984,0.5899,0.3878,0.6858,0.5525
31-May-1984,0.5413,0.3257,0.2744,0.7870
30-Jun-1984,0.3661,0.4041,0.8270,0.8855
31-Jul-1984,0.2766,0.3276,0.2864,-0.5355
31-Aug-1984,0.1030,0.2560,0.6784,-0.0252
30-Sep-1984,-0.2965,0.3278,0.9194,-0.1233
31-Oct-1984,-0.0110,0.2985,-0.4206,0.4187
30-Nov-1984,0.3363,0.3685,0.5555,0.8838
31-Dec-1984,0.0322,0.1301,0.4805,0.1195
31-Jan-1985,-0.0172,0.2754,-0.1015,-0.2501
28-Feb-1985,0.2747,0.1358,0.0818,0.3400
31-Mar-1985,0.1510,0.3507,0.4685,0.8715
30-Apr-1985,-0.2179,0.2022,-0.1956,-0.1026
31-May-1985,0.1453,0.2820,0.2721,1.1518
30-Jun-1985,-0.0485,0.1509,0.4255,-1.6678
31-Jul-1985,-0.4743,0.1937,-0.0259,0.1918
31-Aug-1985,0.3037,0.1964,0.1814,1.8011
30-Sep-1985,0.3378,0.2093,0.4649,0.2679
31-Oct-1985,-0.3115,0.1916,0.5268,-0.9263
30-Nov-1985,0.3512,0.2135,0.1649,0.7292
31-Dec-1985,0.9584,0.1685,0.6869,-0.5357
31-Jan-1986,0.5520,0.1247,-0.2927,1.4919
28-Feb-1986,-0.7044,0.1164,0.5227,-0.5705
31-Mar-1986,-0.7148,0.0880,0.9385,0.0975
30-Apr-1986,0.1433,0.1888,0.3213,1.9936
31-May-1986,0.1476,0.1280,0.0657,-0.9637
30-Jun-1986,-0.4037,-0.0937,0.0203,0.6395
31-Jul-1986,0.6512,0.3202,0.3309,0.5892
31-Aug-1986,-0.1857,0.1155,0.3888,0.1420
30-Sep-1986,0.2549,0.3468,0.0946,2.3446
31-Oct-1986,0.4253,0.1869,0.0140,-1.4224
30-Nov-1986,0.3999,0.1866,0.2014,-0.3069
31-Dec-1986,0.9440,0.2002,0.3599,2.0719
31-Jan-1987,-0.3494,0.1680,-0.1821,-3.2079
28-Feb-1987,1.3095,0.2391,0.3085,3.5435
31-Mar-1987,0.1447,0.2425,0.2768,0.0959
30-Apr-1987,0.6311,0.3306,-0.0568,-0.2875
31-May-1987,0.6303,0.2254,0.5272,-0.1670
30-Jun-1987,0.5166,0.1689,0.0657,0.4978
31-Jul-1987,0.6797,0.3400,0.3705,0.8635
31-Aug-1987,0.7478,0.1691,0.6538,-0.4419
30-Sep-1987,0.3932,0.2214,0.1315,1.0961
31-Oct-1987,1.3233,0.4772,0.7237,-0.1153
30-Nov-1987,0.4866,0.2266,0.5874,-0.2775
31-Dec-1987,0.5593,0.2792,1.2426,0.8438
31-Jan-1988,-0.0197,0.0887,-0.4115,-0.2285
29-Feb-1988,0.4999,0.4433,0.5160,1.1239
31-Mar-1988,0.2465,0.2635,0.1161,1.5890
30-Apr-1988,0.5784,0.2323,0.4513,-0.5377
31-May-1988,-0.2018,0.2194,0.1242,0.3134
30-Jun-1988,0.2897,0.3462,0.4080,0.9756
31-Jul-1988,0.0147,0.2124,0.5135,-0.4064
31-Aug-1988,0.5002,0.1174,0.2644,0.0578
30-Sep-1988,-0.3130,0.3203,0.2364,0.3948
31-Oct-1988,0.4302,0.2478,0.6157,0.7733
30-Nov-1988,0.2416,0.3203,-0.0157,0.3853
31-Dec-1988,0.4519,0.2632,0.5423,1.2951
31-Jan-1989,0.2945,0.2457,0.6625,0.1142
28-Feb-1989,-0.4435,0.2479,0.2866,-1.0989
31-Mar-1989,0.2498,0.1804,0.4010,-0.5970
30-Apr-1989,-0.0150,0.1578,-0.3094,0.9079
31-May-1989,-0.5701,0.1131,-0.4631,-0.4468
30-Jun-1989,-0.0076,0.1056,0.2445,-0.3089
31-Jul-1989,-0.9694,0.0389,0.3467,-1.0310
31-Aug-1989,0.9751,0.0472,0.1630,2.5068
30-Sep-1989,-0.3139,0.2300,0.2427,-0.7031
31-Oct-1989,-0.1349,0.0987,0.4934,-0.9701
30-Nov-1989,0.3373,0.2541,0.0321,0.8904
31-Dec-1989,0.5469,0.0772,0.1504,0.3300
31-Jan-1990,-0.5071,0.3302,-0.0139,-0.7842
28-Feb-1990,0.9041,0.2195,0.3557,1.4748
31-Mar-1990,0.4969,0.1862,0.0873,0.5810
30-Apr-1990,-0.2623,0.0310,0.6340,-1.1591
31-May-1990,0.3037,0.1403,-0.1350,0.8093
30-Jun-1990,0.3386,0.0200,0.1213,0.2582
31-Jul-1990,-0.1749,-0.0319,0.3876,-0.5372
31-Aug-1990,0.3487,-0.1896,-0.6592,1.0009
30-Sep-1990,0.0076,-0.0776,-0.1479,-1.8558
31-Oct-1990,-0.5860,-0.1325,-0.9979,-0.4298
30-Nov-1990,-1.2797,-0.1418,-0.0363,-1.1892
31-Dec-1990,-0.7367,-0.0495,0.4169,-1.0463
31-Jan-1991,-0.3261,-0.1008,-0.9732,-0.6612
28-Feb-1991,-0.7416,-0.2966,-0.0155,0.5901
31-Mar-1991,-0.5771,-0.1537,0.0548,-0.5798
30-Apr-1991,0.2635,-0.2010,0.2371,1.9513
31-May-1991,0.9370,-0.0896,-0.0294,0.8169
30-Jun-1991,0.8070,0.0711,0.5549,-0.4489
31-Jul-1991,0.2797,-0.0369,-0.2498,1.2968
31-Aug-1991,-0.0011,0.0092,0.1354,-0.4222
30-Sep-1991,0.7902,0.0323,0.2620,0.4268
31-Oct-1991,-0.0547,0.0240,-0.2146,0.1009
30-Nov-1991,-0.1584,-0.0563,0.2313,-0.3243
31-Dec-1991,-0.4874,0.0277,0.6450,-1.2812
31-Jan-1992,-0.5251,0.0323,0.2582,1.9185
29-Feb-1992,0.7035,-0.0489,0.5309,0.2512
31-Mar-1992,0.8490,0.0508,0.0590,0.4017
30-Apr-1992,0.7561,0.1374,0.2574,0.6642
31-May-1992,0.3286,0.1197,0.5346,-0.8738
30-Jun-1992,0.0512,0.0552,0.4316,1.0487
31-Jul-1992,0.9165,0.0800,-0.1450,1.3303
31-Aug-1992,-0.5608,0.1130,0.3723,-1.6036
30-Sep-1992,0.3293,0.0321,-0.5025,1.3808
31-Oct-1992,0.6729,0.1724,-0.5843,0.4039
30-Nov-1992,0.3785,0.1319,0.4443,0.1703
31-Dec-1992,0.1687,0.2002,4.0169,1.5446
