Date,S&P 500 Daily Log Return (percent)
29-May-2025,0.400315
28-May-2025,-0.558676
27-May-2025,2.025254
23-May-2025,-0.673091
22-May-2025,-0.044495
21-May-2025,-1.62667
20-May-2025,-0.388775
19-May-2025,0.087569
16-May-2025,0.69809
15-May-2025,0.41238
14-May-2025,0.102384
13-May-2025,0.722208
12-May-2025,3.204001
09-May-2025,-0.071177
08-May-2025,0.578299
07-May-2025,0.4337
06-May-2025,-0.772303
05-May-2025,-0.640204
02-May-2025,1.461923
01-May-2025,0.627933
30-Apr-2025,0.14789
29-Apr-2025,0.578563
28-Apr-2025,0.064049
25-Apr-2025,0.73461
24-Apr-2025,2.00566
23-Apr-2025,1.652385
22-Apr-2025,2.480703
21-Apr-2025,-2.384965
17-Apr-2025,0.132596
16-Apr-2025,-2.266331
15-Apr-2025,-0.172921
14-Apr-2025,0.791325
11-Apr-2025,1.793037
10-Apr-2025,-3.522059
09-Apr-2025,9.08949
08-Apr-2025,-1.582509
07-Apr-2025,-0.233418
04-Apr-2025,-6.160907
03-Apr-2025,-4.960588
02-Apr-2025,0.670559
01-Apr-2025,0.377415
31-Mar-2025,0.552321
28-Mar-2025,-1.993458
27-Mar-2025,-0.331244
26-Mar-2025,-1.121969
25-Mar-2025,0.157308
24-Mar-2025,1.749216
21-Mar-2025,0.082433
20-Mar-2025,-0.21873
19-Mar-2025,1.074063
18-Mar-2025,-1.071067
17-Mar-2025,0.63956
14-Mar-2025,2.104292
13-Mar-2025,-1.398841
12-Mar-2025,0.487497
11-Mar-2025,-0.75966
10-Mar-2025,-2.734352
07-Mar-2025,0.55054
06-Mar-2025,-1.79797
05-Mar-2025,1.109748
04-Mar-2025,-1.231023
03-Mar-2025,-1.775344
28-Feb-2025,1.572975
27-Feb-2025,-1.59917
26-Feb-2025,0.013601
25-Feb-2025,-0.469072
24-Feb-2025,-0.498151
21-Feb-2025,-1.721137
20-Feb-2025,-0.434362
19-Feb-2025,0.237418
18-Feb-2025,0.244197
14-Feb-2025,-0.007196
13-Feb-2025,1.037238
12-Feb-2025,-0.272762
11-Feb-2025,0.033952
10-Feb-2025,0.669016
07-Feb-2025,-0.950991
06-Feb-2025,0.36377
05-Feb-2025,0.390104
04-Feb-2025,0.71989
03-Feb-2025,-0.76377
31-Jan-2025,-0.505958
30-Jan-2025,0.526157
29-Jan-2025,-0.468985
28-Jan-2025,0.917558
27-Jan-2025,-1.468798
24-Jan-2025,-0.285926
23-Jan-2025,0.529945
22-Jan-2025,0.61192
21-Jan-2025,0.873
17-Jan-2025,0.994143
16-Jan-2025,-0.211487
15-Jan-2025,1.814713
14-Jan-2025,0.114563
13-Jan-2025,0.157417
